,C,D,F,F_stderr,a,color,dataset,lambdaem,lambdaex,n,r0,r0_stderr,tf,tf_stderr,v,w0,w0_stderr
0,0.8289059999999999,419.01,0.13575364915789223,0.007910302075987287,0.522,B,BR00781,0.519,0.488,1.33,0.11932750489376137,0.0005162562018296742,9.701356179938483e-06,1.0970998928559017e-06,1.5706700172335832,0.29441014791648934,0.0033401916841512996
1,0.8125,400.7,0.0440321421085588,0.024089938667965147,0.652,R,BR00781,0.657,0.633,1.33,0.1572518426534902,0.0007030892434387208,1.3770132267881949e-06,1.1814277522178686e-06,3.317947096657627,0.3714329968901691,0.0028318341522386515
2,1.6578119999999998,419.01,0.13268788625029565,0.0052136711100164304,0.522,B,BR01562,0.519,0.488,1.33,0.12204215584081836,0.00034180526382397144,5.538352656872858e-06,4.87271845069804e-07,1.539844783358723,0.28251085030354095,0.0019535891003282678
3,1.625,400.7,0.03293439274662249,0.0063596527379215124,0.652,R,BR01562,0.657,0.633,1.33,0.1483782897540114,0.0002811161783438877,2.283841026933024e-06,7.537181378961997e-07,3.1174095581972083,0.37647070600754584,0.0011395371626610586
4,3.315625,419.01,0.1516631985340327,0.00703244563672534,0.522,B,BR03125,0.519,0.488,1.33,0.11799601594428269,0.0004952957609770461,8.107999344214732e-06,8.026708634048226e-07,1.5711247485308213,0.2980020900663639,0.0029418335821063605
5,3.25,400.7,0.13756169561043674,0.0,0.652,R,BR03125,0.657,0.633,1.33,0.14228814315433524,0.0,2.8854816924900727e-09,0.0,2.8950607119831595,0.3714109727934998,0.0
6,6.63125,419.01,0.15021103462290816,0.009151309508107525,0.522,B,BR06250,0.519,0.488,1.33,0.12524926290899596,0.0007157026104302871,6.999668551409069e-06,9.401441717708863e-07,1.7015423877764353,0.2976847199493118,0.003962035341512166
7,6.5,400.7,0.19332150625589442,0.05094815041728093,0.652,R,BR06250,0.657,0.633,1.33,0.14029679206112589,0.0035549928857350403,7.606004217204083e-05,1.004936989258246e-05,4.065569462118986,0.475465262817145,0.02823144716382987
8,13.2625,419.01,0.17097708368390896,0.01573552753210368,0.522,B,BR12500,0.519,0.488,1.33,0.11502506814956022,0.0013152766000466996,1.112673821396926e-05,1.8963849577559959e-06,1.6456366686534578,0.31643077150338605,0.0076109459375285704
9,13.0,400.7,0.3426295872992924,0.06124635360611757,0.652,R,BR12500,0.657,0.633,1.33,0.10786975401268979,0.00718159287236964,8.46191099722688e-05,7.999605632975207e-06,4.236309362173274,0.5792218317516106,0.05239427720746635
